full_name,country,country_code,longitude,latitude
"Wood Buffalo, Alberta",Canada,CA,-114.001159,55.329481
"Calgary, Alberta",Canada,CA,-114.3160379,50.84278
"Vancouver, British Columbia",Canada,CA,-123.224215,49.19854
"Québec, Canada",Canada,CA,-71.548521,46.730765
"Ottawa, Ontario",Canada,CA,-76.353876,44.961937
"Houston, TX",United States,US,-95.823268,29.522325
"Tempe, AZ",United States,US,-111.979047,33.3199453
"Sarnia, Ontario",Canada,CA,-82.460031,42.912194
"Greater Vancouver, British Columbia",Canada,CA,-123.738375,49.001921
"Regina, Saskatchewan",Canada,CA,-104.778398,50.39659
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Kenora, Ontario",Canada,CA,-94.591813,49.738317
"Greater Vancouver, British Columbia",Canada,CA,-123.738375,49.001921
"Ottawa, Ontario",Canada,CA,-76.353876,44.961937
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Calgary, Alberta",Canada,CA,-114.3160379,50.84278
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
"Thunder Bay, Ontario",Canada,CA,-89.429427,48.289211
"Peterborough, Ontario",Canada,CA,-78.3879942,44.252035
"Bismarck, ND",United States,US,-100.839587,46.756481
"Calgary, Alberta",Canada,CA,-114.3160379,50.84278
"North Grenville, Ontario",Canada,CA,-75.817985,44.845633
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Kincardine, Ontario",Canada,CA,-82.374927,44.088966
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
"Kamloops, British Columbia",Canada,CA,-120.5412915,50.6172419
"Ottawa, Ontario",Canada,CA,-76.353876,44.961937
"Mnjikaning First Nation 32 (Rama First Nation 32), Ontario",Canada,CA,-79.394656,44.642229
"Edmonton, Alberta",Canada,CA,-113.71368,53.395531
"Tottenham, London",United Kingdom,GB,-0.170246,51.564585
"Victoria, British Columbia",Canada,CA,-123.394397,48.403014
"Windsor, Ontario",Canada,CA,-83.113623,42.2339053
"Ottawa, Ontario",Canada,CA,-76.353876,44.961937
"Assoukhour Assawda, Royaume du Maroc",Morocco,MA,-7.6037898,33.5681348
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Kingston, Ontario",Canada,CA,-76.712759,44.16054
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
"St. John's, Newfoundland and Labrador",Canada,CA,-53.039678,47.330824
"Sarnia, Ontario",Canada,CA,-82.460031,42.912194
"Edmonton, Alberta",Canada,CA,-113.71368,53.395531
"Kenora, Ontario",Canada,CA,-94.591813,49.738317
"Oakville, Ontario",Canada,CA,-79.810961,43.309929
"Calgary, Alberta",Canada,CA,-114.3160379,50.84278
"Hamilton, Ontario",Canada,CA,-80.248423,43.050553
"Gatineau, Québec",Canada,CA,-75.908759,45.366368
"Ottawa, Ontario",Canada,CA,-76.353876,44.961937
"Thunder Bay, Ontario",Canada,CA,-89.429427,48.289211
"Fort St. John, British Columbia",Canada,CA,-120.880403,56.209595
"Kitchener, Ontario",Canada,CA,-80.574116,43.353845
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
"Montréal, Québec",Canada,CA,-73.972965,45.410095
"Goderich, Ontario",Canada,CA,-81.734992,43.721138
"Kingston, Ontario",Canada,CA,-76.712759,44.16054
"Lake Country, British Columbia",Canada,CA,-119.4742191,50.004916
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
"Thompson, Manitoba",Canada,CA,-97.898029,55.7255468
"M'Chigeeng 22 (West Bay 22), Ontario",Canada,CA,-82.214249,45.76849
"Burlington, Ontario",Canada,CA,-79.959313,43.286245
The Fairmont Royal York,Canada,CA,-79.3815076529019,43.64544914616651
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Ottawa, Ontario",Canada,CA,-76.353876,44.961937
"Montréal, Québec",Canada,CA,-73.972965,45.410095
Allan Gardens,Canada,CA,-79.37412858009338,43.661891653452926
"Ottawa, Ontario",Canada,CA,-76.353876,44.961937
"Calgary, Alberta",Canada,CA,-114.3160379,50.84278
"Shelburne, Ontario",Canada,CA,-80.223394,44.068012
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
Olympic Plaza,Canada,CA,-114.059111817507,51.045832115742506
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
"Lethbridge, Alberta",Canada,CA,-112.93618,49.620144
"Vancouver, British Columbia",Canada,CA,-123.224215,49.19854
"Oakville, Ontario",Canada,CA,-79.810961,43.309929
"Cape Breton, Nova Scotia",Canada,CA,-60.812036,44.588424
"Regina, Saskatchewan",Canada,CA,-104.778398,50.39659
"Ottawa, Ontario",Canada,CA,-76.353876,44.961937
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Vancouver, British Columbia",Canada,CA,-123.224215,49.19854
"Moorhead, MN",United States,US,-96.79398,46.818321
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
"Guelph, Ontario",Canada,CA,-80.326879,43.473802
"Kamloops, British Columbia",Canada,CA,-120.5412915,50.6172419
"Kingston, Ontario",Canada,CA,-76.712759,44.16054
"Montréal, Québec",Canada,CA,-73.972965,45.410095
"Edmonton, Alberta",Canada,CA,-113.71368,53.395531
"Swan River, Manitoba",Canada,CA,-101.2927067,52.091288
"Halifax, Nova Scotia",Canada,CA,-64.237659,43.366298
"Merritt, British Columbia",Canada,CA,-120.824103,50.083861
"Hamilton, Ontario",Canada,CA,-80.248423,43.050553
"Ottawa, Ontario",Canada,CA,-76.353876,44.961937
"Iqaluit, Nunavut",Canada,CA,-68.61605,63.713148
"New York, USA",United States,US,-79.76259,40.477383
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
"Guelph, Ontario",Canada,CA,-80.326879,43.473802
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
"Thunder Bay, Ontario",Canada,CA,-89.429427,48.289211
"Ottawa, Ontario",Canada,CA,-76.353876,44.961937
"Richmond, British Columbia",Canada,CA,-123.304549,49.08609
"West Papua, Indonesia",Indonesia,ID,129.298158,-4.31892
"Prince George, British Columbia",Canada,CA,-122.9009292,53.812891
"Whitehead, Manitoba",Canada,CA,-100.464559,49.709297
"Kincardine, Ontario",Canada,CA,-82.374927,44.088966
"Hamilton, Ontario",Canada,CA,-80.248423,43.050553
"Edmonton, Alberta",Canada,CA,-113.71368,53.395531
"Kitchener, Ontario",Canada,CA,-80.574116,43.353845
"Winnipeg, Manitoba",Canada,CA,-97.350366,49.713679
"Victoria, British Columbia",Canada,CA,-123.394397,48.403014
"Nunavut, Canada",Canada,CA,-121.049247,51.160428
"Toronto, Ontario",Canada,CA,-79.639319,43.403221
